 running   16 mpi-ranks, with    1 threads/rank, on    1 nodes
 distrk:  each k-point on   16 cores,    1 groups
 distr:  one band on    4 cores,    4 groups
 vasp.6.5.1 10Mar25 (build Jan 13 2026 20:43:53) complex                         
 POSCAR found type information on POSCAR CrClH 
 POSCAR found :  3 types and      33 ions
 scaLAPACK will be used
 LDA part: xc-table for (Slater+PW92), standard interpolation
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ... GRIDC
 FFT: planning ... GRID_SOFT
 FFT: planning ... GRID
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.207120707114E+04    0.20712E+04   -0.61668E+04  2960   0.918E+02
DAV:   2     0.408180261699E+03   -0.16630E+04   -0.15419E+04  3472   0.248E+02
DAV:   3    -0.127102812605E+03   -0.53528E+03   -0.51863E+03  4216   0.139E+02
DAV:   4    -0.173826615057E+03   -0.46724E+02   -0.46007E+02  4496   0.582E+01
DAV:   5    -0.174585338268E+03   -0.75872E+00   -0.74428E+00  4488   0.101E+01    0.423E+01
DAV:   6    -0.165785407222E+03    0.87999E+01   -0.14848E+02  4216   0.649E+01    0.432E+01
DAV:   7    -0.157681507951E+03    0.81039E+01   -0.30885E+01  4144   0.671E+01    0.206E+01
DAV:   8    -0.158080292651E+03   -0.39878E+00   -0.78348E+00  4280   0.115E+01    0.102E+01
DAV:   9    -0.157868462878E+03    0.21183E+00   -0.25121E+00  4512   0.160E+01    0.749E+00
DAV:  10    -0.157617552290E+03    0.25091E+00   -0.93586E-01  4208   0.806E+00    0.248E+00
DAV:  11    -0.157687986692E+03   -0.70434E-01   -0.15088E-01  4264   0.284E+00    0.104E+00
DAV:  12    -0.157766662299E+03   -0.78676E-01   -0.27278E-02  4128   0.886E-01    0.511E-01
DAV:  13    -0.157797207268E+03   -0.30545E-01   -0.73663E-03  4048   0.564E-01    0.360E-01
DAV:  14    -0.157810994921E+03   -0.13788E-01   -0.12101E-03  4176   0.178E-01    0.179E-01
DAV:  15    -0.157816192884E+03   -0.51980E-02   -0.74875E-04  4256   0.163E-01    0.903E-02
DAV:  16    -0.157818261225E+03   -0.20683E-02   -0.29339E-04  4224   0.998E-02    0.590E-02
DAV:  17    -0.157819952316E+03   -0.16911E-02   -0.14950E-04  3992   0.413E-02    0.418E-02
DAV:  18    -0.157821583283E+03   -0.16310E-02   -0.12944E-04  3880   0.358E-02    0.313E-02
DAV:  19    -0.157822719762E+03   -0.11365E-02   -0.13371E-04  3576   0.289E-02    0.207E-02
DAV:  20    -0.157823202093E+03   -0.48233E-03   -0.52174E-05  3672   0.163E-02    0.139E-02
DAV:  21    -0.157823545515E+03   -0.34342E-03   -0.23599E-05  3624   0.133E-02    0.755E-03
DAV:  22    -0.157823706930E+03   -0.16142E-03   -0.10420E-05  3344   0.964E-03    0.365E-03
DAV:  23    -0.157823771893E+03   -0.64963E-04   -0.10349E-06  2040   0.426E-03    0.273E-03
DAV:  24    -0.157823835485E+03   -0.63591E-04   -0.13220E-06  2136   0.317E-03    0.186E-03
DAV:  25    -0.157823874421E+03   -0.38936E-04   -0.68279E-07  1856   0.238E-03    0.162E-03
DAV:  26    -0.157823885701E+03   -0.11280E-04   -0.32556E-07  1664   0.190E-03    0.112E-03
DAV:  27    -0.157823901993E+03   -0.16292E-04   -0.70491E-07  2008   0.177E-03    0.991E-04
DAV:  28    -0.157823909940E+03   -0.79466E-05   -0.56035E-07  1968   0.192E-03    0.117E-03
DAV:  29    -0.157823914243E+03   -0.43029E-05   -0.18781E-07  1680   0.140E-03    0.533E-04
DAV:  30    -0.157823918209E+03   -0.39664E-05   -0.11239E-07  1640   0.842E-04    0.450E-04
DAV:  31    -0.157823921567E+03   -0.33575E-05   -0.55329E-08  1624   0.762E-04    0.344E-04
DAV:  32    -0.157823925253E+03   -0.36858E-05   -0.52665E-08  1616   0.611E-04    0.306E-04
DAV:  33    -0.157823926987E+03   -0.17340E-05   -0.30239E-08  1624   0.562E-04    0.281E-04
DAV:  34    -0.157823928866E+03   -0.18791E-05   -0.31597E-08  1584   0.380E-04    0.195E-04
DAV:  35    -0.157823930411E+03   -0.15453E-05   -0.28841E-08  1616   0.387E-04    0.219E-04
DAV:  36    -0.157823930963E+03   -0.55171E-06   -0.17377E-08  1584   0.366E-04
