scale,coverage_theta,d_hh,vdw_key,vdw_label,site_key,site_label,site_color,E_clean,E_tot,Delta_E,E_ads,Delta_G,mag,ionic_steps
1x1,1.0,6.0463,no_vdw,Pure PBE,S1,Site 1 (Top-Cl),#1f77b4,-39.07166,-40.773404,-1.701743999999998,1.6780560500000021,1.9180560500000021,7.0,5
1x1,1.0,6.0463,no_vdw,Pure PBE,S2,Site 2 (Hollow),#d62728,-39.07166,-39.964713,-0.8930530000000019,2.486747049999998,2.7267470499999984,5.0438,2
1x1,1.0,6.0463,no_vdw,Pure PBE,S3,Site 3 (Top-Cr),#2ca02c,-39.07166,-40.815517,-1.7438569999999984,1.6359430500000016,1.8759430500000016,5.0,13
1x1,1.0,6.0463,yes_vdw,PBE+D3 (Zero),S1,Site 1 (Top-Cl),#1f77b4,-39.984116,-41.823204,-1.8390879999999967,1.5407120500000033,1.7807120500000033,7.0,6
1x1,1.0,6.0463,yes_vdw,PBE+D3 (Zero),S2,Site 2 (Hollow),#d62728,-39.984116,-40.986831,-1.002715000000002,2.377085049999998,2.6170850499999982,5.5062,12
1x1,1.0,6.0463,yes_vdw,PBE+D3 (Zero),S3,Site 3 (Top-Cr),#2ca02c,-39.984116,-41.709266,-1.7251499999999993,1.6546500500000008,1.8946500500000008,5.0,13
1x1,1.0,6.0463,yes_vdw_ivdw12,PBE+D3 (BJ),S1,Site 1 (Top-Cl),#1f77b4,-40.526801,-42.582572,-2.055771,1.32528355,1.56528355,7.0,73
1x1,1.0,6.0463,yes_vdw_ivdw12,PBE+D3 (BJ),S2,Site 2 (Hollow),#d62728,-40.526801,-41.848062,-1.3212609999999998,2.05979355,2.2997935500000004,7.0,15
1x1,1.0,6.0463,yes_vdw_ivdw12,PBE+D3 (BJ),S3,Site 3 (Top-Cr),#2ca02c,-40.526801,-42.240501,-1.7137000000000029,1.667354549999997,1.907354549999997,5.0,7
2x2,0.25,12.0925,no_vdw,Pure PBE,S1,Site 1 (Top-Cl),#1f77b4,-156.28678,-158.08767,-1.8008900000000096,1.5789100499999904,1.8189100499999904,25.0,4
2x2,0.25,12.0925,no_vdw,Pure PBE,S2,Site 2 (Hollow),#d62728,-156.28678,-157.19569,-0.9089100000000201,2.47089004999998,2.71089004999998,23.0,2
2x2,0.25,12.0925,no_vdw,Pure PBE,S3,Site 3 (Top-Cr),#2ca02c,-156.28678,-158.04225,-1.7554700000000025,1.6243300499999975,1.8643300499999975,23.0,10
2x2,0.25,12.0925,yes_vdw,PBE+D3 (Zero),S1,Site 1 (Top-Cl),#1f77b4,-159.93661,-161.80363,-1.8670199999999966,1.5127800500000035,1.7527800500000035,25.0,5
2x2,0.25,12.0925,yes_vdw,PBE+D3 (Zero),S2,Site 2 (Hollow),#d62728,-159.93661,-160.95712,-1.0205100000000016,2.3592900499999985,2.5992900499999987,23.0,24
2x2,0.25,12.0925,yes_vdw,PBE+D3 (Zero),S3,Site 3 (Top-Cr),#2ca02c,-159.93661,-161.69264,-1.7560300000000097,1.6237700499999903,1.8637700499999903,23.0,20
2x2,0.25,12.0925,yes_vdw_ivdw12,PBE+D3 (BJ),S1,Site 1 (Top-Cl),#1f77b4,-162.10743,-164.20077,-2.093340000000012,1.287714549999988,1.527714549999988,25.0,71
2x2,0.25,12.0925,yes_vdw_ivdw12,PBE+D3 (BJ),S2,Site 2 (Hollow),#d62728,-162.10743,-163.16411,-1.05668,2.32437455,2.56437455,23.0073,19
2x2,0.25,12.0925,yes_vdw_ivdw12,PBE+D3 (BJ),S3,Site 3 (Top-Cr),#2ca02c,-162.10743,-163.85247,-1.7450400000000172,1.6360145499999827,1.8760145499999827,23.0,3
3x3,0.1111111111111111,18.1388,no_vdw,Pure PBE,S1,Site 1 (Top-Cl),#1f77b4,-351.6468,-353.76076,-2.11396000000002,1.26584004999998,1.50584004999998,55.0,80
3x3,0.1111111111111111,18.1388,no_vdw,Pure PBE,S2,Site 2 (Hollow),#d62728,-351.6468,-352.55621,-0.9094100000000367,2.4703900499999634,2.7103900499999636,53.0,2
3x3,0.1111111111111111,18.1388,no_vdw,Pure PBE,S3,Site 3 (Top-Cr),#2ca02c,-351.6468,-353.42615,-1.7793500000000222,1.6004500499999779,1.8404500499999779,53.0,24
3x3,0.1111111111111111,18.1388,yes_vdw,PBE+D3 (Zero),S1,Site 1 (Top-Cl),#1f77b4,-364.74177,-366.82434,-2.0825700000000325,1.2972300499999676,1.5372300499999676,55.0,38
3x3,0.1111111111111111,18.1388,yes_vdw,PBE+D3 (Zero),S2,Site 2 (Hollow),#d62728,-364.74177,-365.79839,-1.0566200000000094,2.3231800499999906,2.563180049999991,53.0001,30
3x3,0.1111111111111111,18.1388,yes_vdw,PBE+D3 (Zero),S3,Site 3 (Top-Cr),#2ca02c,-364.74177,-366.49301,-1.7512400000000525,1.6285600499999475,1.8685600499999475,53.0,28
3x3,0.1111111111111111,18.1388,yes_vdw_ivdw12,PBE+D3 (BJ),S1,Site 1 (Top-Cl),#1f77b4,-364.74177,-366.76992,-2.028150000000039,1.3529045499999608,1.5929045499999608,55.0,16
3x3,0.1111111111111111,18.1388,yes_vdw_ivdw12,PBE+D3 (BJ),S2,Site 2 (Hollow),#d62728,-364.74177,-365.79877,-1.0570000000000164,2.3240545499999836,2.564054549999984,53.0001,30
3x3,0.1111111111111111,18.1388,yes_vdw_ivdw12,PBE+D3 (BJ),S3,Site 3 (Top-Cr),#2ca02c,-364.74177,-366.48464,-1.742870000000039,1.638184549999961,1.878184549999961,53.0,17
