TM,TM_name,nominal_moment,vdw_key,vdw_label,site_key,site_label,site_color,E_clean,E_tot,Delta_E,mag,ionic_steps,Delta_E_rel
Co,Cobalt,3.0,no_vdw,Pure PBE,S1,Site 1 (Top-Cl),#1f77b4,-156.28678,-161.01466,-4.727879999999999,23.0,83,0.0
Co,Cobalt,3.0,no_vdw,Pure PBE,S2,Site 2 (Hollow),#e67e22,-156.28678,-161.01309,-4.726310000000012,23.0,12,0.0015699999999867487
Co,Cobalt,3.0,no_vdw,Pure PBE,S3,Site 3 (Top-Cr),#2ca02c,-156.28678,-160.36598,-4.079200000000014,23.0,27,0.6486799999999846
Co,Cobalt,3.0,yes_vdw,PBE+D3 (BJ),S1,Site 1 (Top-Cl),#1f77b4,-162.10676,-166.94224,-4.83547999999999,27.0,75,0.221509999999995
Co,Cobalt,3.0,yes_vdw,PBE+D3 (BJ),S2,Site 2 (Hollow),#e67e22,-162.10676,-167.16375,-5.056989999999985,23.0,12,0.0
Co,Cobalt,3.0,yes_vdw,PBE+D3 (BJ),S3,Site 3 (Top-Cr),#2ca02c,-162.10676,-166.45361,-4.346849999999989,23.0,42,0.7101399999999956
Fe,Iron,4.0,no_vdw,Pure PBE,S1,Site 1 (Top-Cl),#1f77b4,-156.28678,-161.90511,-5.6183300000000145,28.4076,81,0.7146799999999871
Fe,Iron,4.0,no_vdw,Pure PBE,S2,Site 2 (Hollow),#e67e22,-156.28678,-162.61979,-6.333010000000002,28.4433,54,0.0
Fe,Iron,4.0,no_vdw,Pure PBE,S3,Site 3 (Top-Cr),#2ca02c,-156.28678,-161.3136,-5.026820000000015,21.6514,25,1.3061899999999866
Fe,Iron,4.0,yes_vdw,PBE+D3 (BJ),S1,Site 1 (Top-Cl),#1f77b4,-162.10676,-168.91345,-6.806690000000003,22.0,92,0.0
Fe,Iron,4.0,yes_vdw,PBE+D3 (BJ),S2,Site 2 (Hollow),#e67e22,-162.10676,-168.116,-6.0092400000000055,28.3906,19,0.7974499999999978
Fe,Iron,4.0,yes_vdw,PBE+D3 (BJ),S3,Site 3 (Top-Cr),#2ca02c,-162.10676,-165.91265,-3.805890000000005,24.1824,31,3.000799999999998
Ni,Nickel,2.0,no_vdw,Pure PBE,S1,Site 1 (Top-Cl),#1f77b4,-156.28678,-159.78852,-3.5017400000000123,24.0,76,0.28992999999999824
Ni,Nickel,2.0,no_vdw,Pure PBE,S2,Site 2 (Hollow),#e67e22,-156.28678,-160.07845,-3.7916700000000105,24.0,16,0.0
Ni,Nickel,2.0,no_vdw,Pure PBE,S3,Site 3 (Top-Cr),#2ca02c,-156.28678,-159.28465,-2.997870000000006,24.0,12,0.7938000000000045
Ni,Nickel,2.0,yes_vdw,PBE+D3 (BJ),S1,Site 1 (Top-Cl),#1f77b4,-162.10676,-165.91421,-3.8074499999999887,24.0,33,0.3919400000000053
Ni,Nickel,2.0,yes_vdw,PBE+D3 (BJ),S2,Site 2 (Hollow),#e67e22,-162.10676,-166.30615,-4.199389999999994,24.0,16,0.0
Ni,Nickel,2.0,yes_vdw,PBE+D3 (BJ),S3,Site 3 (Top-Cr),#2ca02c,-162.10676,-165.28445,-3.177689999999984,24.0,20,1.0217000000000098
Co,Cobalt,3.0,yes_vdw_u,PBE+D3+U (3.29 eV),S1,Site 1 (Top-Cl),#1f77b4,-147.30384,-151.62878,-4.324939999999998,27.0,52,0.1444099999999935
Co,Cobalt,3.0,yes_vdw_u,PBE+D3+U (3.29 eV),S3,Site 3 (Top-Cr),#2ca02c,-147.30384,-151.77319,-4.4693499999999915,27.0,9,0.0
